MSZoning,Street,LotShape,LandSlope,Neighborhood,HouseStyle,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,Heating,HeatingQC,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageType_NoNull,OverallQual,GrLivArea_capped,TotalBsmtSF_capped,2ndFlrSF,BsmtFinSF1,1stFlrSF_capped,LotArea_capped,GarageArea_capped,YearBuilt,LotFrontage_capped
RL,Pave,Reg,Gtl,NAmes,1Story,TA,CBlock,TA,No,TA,GasA,TA,Y,TA,,RFn,Attchd,5,1314.0,1314.0,0,922,1314.0,8400.0,294.0,1957,70.0
RL,Pave,IR1,Gtl,Gilbert,2Story,Gd,PConc,Gd,No,Gd,GasA,Gd,Y,TA,TA,RFn,Attchd,6,1571.0,799.0,772,0,799.0,7837.0,380.0,1993,59.0
RL,Pave,Reg,Gtl,Edwards,1Story,TA,CBlock,Fa,No,Fa,GasA,Gd,Y,TA,,NoGarage,,5,796.0,796.0,0,0,796.0,8777.0,0.0,1910,67.0
RL,Pave,Reg,Gtl,SWISU,1.5Fin,TA,BrkTil,Gd,No,Gd,GasA,Ex,Y,Gd,TA,Unf,Detchd,5,1768.0,731.0,787,569,981.0,7200.0,240.0,1937,60.0
RL,Pave,Reg,Gtl,SWISU,1.5Fin,TA,BrkTil,TA,No,TA,GasA,TA,Y,Gd,Gd,Unf,Detchd,5,1691.0,1026.0,665,218,1026.0,5000.0,308.0,1924,50.0
RL,Pave,Reg,Gtl,CollgCr,1Story,TA,PConc,TA,No,TA,GasA,TA,Y,TA,,Unf,Attchd,5,894.0,894.0,0,894,894.0,9800.0,552.0,1972,70.0
RL,Pave,IR2,Gtl,Gilbert,2Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,Gd,Fin,BuiltIn,6,1560.0,684.0,876,0,684.0,11911.0,400.0,2005,122.0
RM,Pave,Reg,Gtl,IDOTRR,1.5Fin,TA,BrkTil,TA,No,TA,GasA,Gd,Y,Gd,,Unf,Detchd,4,1154.0,796.0,358,735,796.0,5436.0,240.0,1922,40.0
RL,Pave,IR1,Gtl,NWAmes,1Story,TA,CBlock,Gd,No,Gd,GasA,TA,Y,Gd,TA,Fin,Attchd,6,1422.0,1422.0,0,588,1422.0,12090.0,576.0,1981,78.0
RL,Pave,Reg,Gtl,Somerst,1Story,Gd,PConc,Gd,Av,Gd,GasA,Ex,Y,Gd,,Fin,Attchd,8,1496.0,1496.0,0,0,1496.0,9158.0,474.0,2007,76.0
RL,Pave,Reg,Gtl,Sawyer,SFoyer,TA,CBlock,TA,Gd,TA,GasA,Gd,Y,TA,,Unf,Detchd,6,913.0,814.0,0,187,913.0,8400.0,240.0,1966,70.0
