Id,MSSubClass,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GarageType_NoNull,GarageYrBlt_NoNull,MasVnrArea_NoNull,LotFrontage_capped,LotArea_capped,TotalBsmtSF_capped,GrLivArea_capped,GarageArea_capped,1stFlrSF_capped
1,60,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Gd,706,Unf,0,150,GasA,Ex,Y,SBrkr,854,0,1,0,2,1,3,1,Gd,8,Typ,0,None,RFn,2,TA,TA,Y,0,61,0,0,0,0,2,2008,WD,Normal,208500,Attchd,2003.0,196.0,65.0,8450.0,856.0,1710.0,548.0,856.0
2,20,RL,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,Gd,TA,Gd,Gd,978,Unf,0,284,GasA,Ex,Y,SBrkr,0,0,0,1,2,0,3,1,TA,6,Typ,1,TA,RFn,2,TA,TA,Y,298,0,0,0,0,0,5,2007,WD,Normal,181500,Attchd,1976.0,0.0,80.0,9600.0,1262.0,1262.0,460.0,1262.0
3,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Mn,Gd,486,Unf,0,434,GasA,Ex,Y,SBrkr,866,0,1,0,2,1,3,1,Gd,6,Typ,1,TA,RFn,2,TA,TA,Y,0,42,0,0,0,0,9,2008,WD,Normal,223500,Attchd,2001.0,162.0,68.0,11250.0,920.0,1786.0,608.0,920.0
4,70,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,TA,Gd,No,TA,216,Unf,0,540,GasA,Gd,Y,SBrkr,756,0,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Unf,3,TA,TA,Y,0,35,272,0,0,0,2,2006,WD,Abnorml,140000,Detchd,1998.0,0.0,60.0,9550.0,756.0,1717.0,642.0,961.0
5,60,RL,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,Gd,655,Unf,0,490,GasA,Ex,Y,SBrkr,1053,0,1,0,2,1,4,1,Gd,9,Typ,1,TA,RFn,3,TA,TA,Y,192,84,0,0,0,0,12,2008,WD,Normal,250000,Attchd,2000.0,350.0,84.0,14260.0,1145.0,2198.0,836.0,1145.0
6,50,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,Gd,TA,No,Gd,732,Unf,0,64,GasA,Ex,Y,SBrkr,566,0,1,0,1,1,1,1,TA,5,Typ,0,None,Unf,2,TA,TA,Y,40,30,0,320,0,700,10,2009,WD,Normal,143000,Attchd,1993.0,0.0,85.0,14115.0,796.0,1362.0,480.0,796.0
7,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Ex,1369,Unf,0,317,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,3,1,Gd,7,Typ,1,Gd,RFn,2,TA,TA,Y,255,57,0,0,0,0,8,2007,WD,Normal,307000,Attchd,2004.0,186.0,75.0,10084.0,1686.0,1694.0,636.0,1694.0
8,60,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Mn,Gd,859,BLQ,32,216,GasA,Ex,Y,SBrkr,983,0,1,0,2,1,3,1,TA,7,Typ,2,TA,RFn,2,TA,TA,Y,235,204,228,0,0,350,11,2009,WD,Normal,200000,Attchd,1973.0,240.0,,10382.0,1107.0,2090.0,484.0,1107.0
9,50,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,TA,TA,No,TA,0,Unf,0,952,GasA,Gd,Y,FuseF,752,0,0,0,2,0,2,2,TA,8,Min1,2,TA,Unf,2,Fa,TA,Y,90,0,205,0,0,0,4,2008,WD,Abnorml,129900,Detchd,1931.0,0.0,51.0,6120.0,952.0,1774.0,468.0,1022.0
10,190,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,TA,851,Unf,0,140,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,2,2,TA,5,Typ,2,TA,RFn,1,Gd,TA,Y,0,4,0,0,0,0,1,2008,WD,Normal,118000,Attchd,1939.0,0.0,50.0,7420.0,991.0,1077.0,205.0,1077.0
